customer_id,churn_date,is_churned,churn_reason,churn_type,days_since_last_transaction,last_transaction_date,total_customer_value,customer_lifetime_months,win_back_eligible,prediction_date,actual_churn_date
CUST_000001,,False,,,2,2023-12-30,866.5462764169542,5.066666666666666,False,2023-12-02,
CUST_000002,,False,,,11,2023-12-21,543.6124280397006,17.366666666666667,False,2023-12-02,
CUST_000003,2023-07-20,True,Service Quality,Voluntary,27,2023-12-05,461.10286386855876,7.9,True,2023-12-02,2023-07-20
CUST_000004,,False,,,19,2023-12-13,90.26612438772841,2.6333333333333333,False,2023-12-02,
CUST_000005,,False,,,21,2023-12-11,431.1729811471101,15.7,False,2023-12-02,
CUST_000006,,False,,,7,2023-12-25,86.53624573016013,2.2333333333333334,False,2023-12-02,
CUST_000007,,False,,,13,2023-12-19,933.1237439722297,16.433333333333334,False,2023-12-02,
CUST_000008,,False,,,20,2023-12-12,613.631674555003,20.666666666666668,False,2023-12-02,
CUST_000009,2023-04-07,True,Price,Voluntary,8,2023-12-24,2164.5649994577907,15.266666666666667,True,2023-12-02,2023-04-07
CUST_000010,,False,,,2,2023-12-30,317.96828164864377,10.066666666666666,False,2023-12-02,
CUST_000011,,False,,,21,2023-12-11,636.5286164421198,20.7,False,2023-12-02,
CUST_000012,,False,,,5,2023-12-27,429.299680764399,7.166666666666667,False,2023-12-02,
CUST_000013,2023-05-01,True,Price,Voluntary,16,2023-12-16,370.2721894860439,12.533333333333333,True,2023-12-02,2023-05-01
CUST_000014,,False,,,19,2023-12-13,812.6556675815708,13.633333333333333,False,2023-12-02,
CUST_000015,,False,,,5,2023-12-27,525.2661452053162,18.166666666666668,False,2023-12-02,
CUST_000016,2023-10-28,True,Price,Voluntary,16,2023-12-16,583.1041610655673,19.533333333333335,True,2023-12-02,2023-10-28
CUST_000017,2023-06-27,True,Price,Voluntary,13,2023-12-19,333.2647465532672,12.433333333333334,True,2023-12-02,2023-06-27
CUST_000018,,False,,,30,2023-12-02,455.33245881233825,3.0,False,2023-12-02,
CUST_000019,2022-11-10,True,Service Quality,Voluntary,18,2023-12-14,865.3808590689515,15.6,True,2023-12-02,2022-11-10
CUST_000020,2022-10-17,True,Service Quality,Voluntary,8,2023-12-24,545.0544740696533,18.266666666666666,True,2023-12-02,2022-10-17
CUST_000021,,False,,,29,2023-12-03,1229.515560004027,21.966666666666665,False,2023-12-02,
CUST_000022,2023-09-26,True,Price,Voluntary,8,2023-12-24,157.50424477487786,5.266666666666667,True,2023-12-02,2023-09-26
CUST_000023,,False,,,19,2023-12-13,647.1457868116017,23.633333333333333,False,2023-12-02,
CUST_000024,,False,,,12,2023-12-20,601.9332473334538,21.4,False,2023-12-02,
CUST_000025,,False,,,30,2023-12-02,651.3538730618337,22.0,False,2023-12-02,
CUST_000026,,False,,,21,2023-12-11,1093.6033355271052,19.7,False,2023-12-02,
CUST_000027,2022-09-26,True,Price,Voluntary,11,2023-12-21,567.0538870640685,21.366666666666667,True,2023-12-02,2022-09-26
CUST_000028,,False,,,2,2023-12-30,575.0004114677978,23.066666666666666,False,2023-12-02,
CUST_000029,,False,,,15,2023-12-17,226.93000010478528,5.5,False,2023-12-02,
CUST_000030,,False,,,4,2023-12-28,235.19494860398044,8.133333333333333,False,2023-12-02,
CUST_000031,,False,,,17,2023-12-15,1339.1731378556292,21.566666666666666,False,2023-12-02,
CUST_000032,,False,,,19,2023-12-13,241.56807133252084,7.633333333333334,False,2023-12-02,
CUST_000033,,False,,,6,2023-12-26,231.28819237217527,7.2,False,2023-12-02,
CUST_000034,,False,,,13,2023-12-19,472.5661621759346,16.433333333333334,False,2023-12-02,
CUST_000035,2023-06-25,True,Competition,Voluntary,16,2023-12-16,676.7619045505143,11.533333333333333,True,2023-12-02,2023-06-25
CUST_000036,,False,,,14,2023-12-18,186.18217496519742,7.7,False,2023-12-02,
CUST_000037,2022-11-28,True,Competition,Voluntary,6,2023-12-26,466.32946762603893,16.2,True,2023-12-02,2022-11-28
CUST_000038,,False,,,12,2023-12-20,455.3456341397007,15.4,False,2023-12-02,
CUST_000039,,False,,,14,2023-12-18,466.96978611953097,17.466666666666665,False,2023-12-02,
CUST_000040,2023-08-24,True,Service Quality,Voluntary,17,2023-12-15,971.5101490570122,15.566666666666666,True,2023-12-02,2023-08-24
CUST_000041,,False,,,27,2023-12-05,173.62341063246026,2.9,False,2023-12-02,
CUST_000042,2023-09-02,True,Price,Voluntary,17,2023-12-15,554.7372700737517,8.566666666666666,True,2023-12-02,2023-09-02
CUST_000043,,False,,,13,2023-12-19,88.5236278171341,2.433333333333333,False,2023-12-02,
CUST_000044,,False,,,30,2023-12-02,144.12386943476864,5.0,False,2023-12-02,
CUST_000045,,False,,,29,2023-12-03,366.3383627544746,12.966666666666667,False,2023-12-02,
CUST_000046,,False,,,3,2023-12-29,238.37701824814383,8.333333333333334,False,2023-12-02,
CUST_000047,2022-12-07,True,Price,Voluntary,0,2024-01-01,1041.00399850739,18.3,True,2023-12-02,2022-12-07
CUST_000048,,False,,,11,2023-12-21,409.41532927442097,15.366666666666667,False,2023-12-02,
CUST_000049,,False,,,22,2023-12-10,855.5645699880292,14.733333333333333,False,2023-12-02,
CUST_000050,,False,,,7,2023-12-25,564.8385717867138,9.233333333333333,False,2023-12-02,
CUST_000051,,False,,,28,2023-12-04,589.7163053276134,18.933333333333334,False,2023-12-02,
CUST_000052,,False,,,26,2023-12-06,124.58160069435007,3.8666666666666667,False,2023-12-02,
CUST_000053,,False,,,29,2023-12-03,87.43224831229963,2.966666666666667,False,2023-12-02,
CUST_000054,,False,,,28,2023-12-04,478.5926540556076,16.933333333333334,False,2023-12-02,
CUST_000055,,False,,,20,2023-12-12,752.3770686134476,13.666666666666666,False,2023-12-02,
CUST_000056,2023-05-23,True,Price,Voluntary,1,2023-12-31,347.2666197515858,11.033333333333333,True,2023-12-02,2023-05-23
CUST_000057,,False,,,6,2023-12-26,258.95226329139007,8.2,False,2023-12-02,
CUST_000058,,False,,,17,2023-12-15,659.2327549286663,10.566666666666666,False,2023-12-02,
CUST_000059,,False,,,3,2023-12-29,123.36486737409383,3.1,False,2023-12-02,
CUST_000060,,False,,,2,2023-12-30,417.1967758161831,15.066666666666666,False,2023-12-02,
CUST_000061,,False,,,22,2023-12-10,754.3195722869731,5.733333333333333,False,2023-12-02,
CUST_000062,2023-10-16,True,Price,Voluntary,19,2023-12-13,2653.2975160660667,18.633333333333333,True,2023-12-02,2023-10-16
CUST_000063,,False,,,21,2023-12-11,186.02068224715475,2.7,False,2023-12-02,
CUST_000064,,False,,,27,2023-12-05,385.46902637511846,13.9,False,2023-12-02,
CUST_000065,,False,,,23,2023-12-09,577.7715810042612,9.766666666666667,False,2023-12-02,
CUST_000066,2023-08-21,True,Service Quality,Voluntary,11,2023-12-21,1767.7532033566517,11.366666666666667,True,2023-12-02,2023-08-21
CUST_000067,,False,,,6,2023-12-26,115.51918606258371,1.2,False,2023-12-02,
CUST_000068,,False,,,21,2023-12-11,240.0586199949782,7.7,False,2023-12-02,
CUST_000069,,False,,,7,2023-12-25,1353.8635576501558,8.233333333333333,False,2023-12-02,
CUST_000070,,False,,,28,2023-12-04,666.3785757902199,10.933333333333334,False,2023-12-02,
CUST_000071,,False,,,24,2023-12-08,563.0603501438001,18.8,False,2023-12-02,
CUST_000072,,False,,,12,2023-12-20,492.5765443366663,18.4,False,2023-12-02,
CUST_000073,2023-04-18,True,Service Quality,Voluntary,6,2023-12-26,631.1337978016401,22.2,True,2023-12-02,2023-04-18
CUST_000074,2023-07-10,True,Service Quality,Voluntary,11,2023-12-21,187.59605940172204,7.366666666666666,True,2023-12-02,2023-07-10
CUST_000075,,False,,,4,2023-12-28,704.6814193455136,23.133333333333333,False,2023-12-02,
